batter,runs_scored,balls_faced,matches_played,strike_rate,batting_score,cluster
M Rawat,55,70,11,78.57142857142857,55.31428571428572,0
A Nortje,49,51,13,96.07843137254902,54.8156862745098,0
Rv Gomez,50,53,9,94.33962264150944,54.76792452830188,0
Wa Mota,56,76,8,73.68421052631578,54.73684210526315,3
Shivam Mavi,51,58,11,87.93103448275862,54.38620689655172,0
Dj Willey,53,64,5,82.8125,54.162499999999994,0
Akash Deep,25,14,5,178.57142857142858,53.714285714285715,4
B Stanlake,5,2,1,250.0,53.6,4
Ap Dole,34,23,2,147.82608695652172,53.565217391304344,4
J Overton,15,7,2,214.28571428571428,53.557142857142864,4
Rp Singh,52,78,28,66.66666666666666,52.53333333333333,3
An Ahmed,36,27,6,133.33333333333331,52.46666666666666,4
Sb Bangar,49,58,7,84.48275862068965,51.896551724137936,0
A Chopra,53,75,6,70.66666666666667,51.83333333333333,3
S Narwal,37,29,4,127.58620689655173,51.817241379310346,0
T Kohler-Cadmore,48,54,3,88.88888888888889,51.67777777777777,0
D Salunkhe,33,24,3,137.5,50.89999999999999,4
Ag Paunikar,49,61,5,80.32786885245902,50.86557377049181,0
A Mithun,34,26,6,130.76923076923077,50.55384615384616,0
Br Dunk,40,36,3,111.11111111111111,50.522222222222226,0
Bkg Mendis,20,11,1,181.8181818181818,50.46363636363637,4
Dr Sams,44,48,13,91.66666666666666,50.43333333333332,0
Vr Aaron,50,73,12,68.4931506849315,49.898630136986306,3
Joginder Sharma,36,30,5,120.0,49.7,0
J Yadav,40,38,4,105.26315789473684,49.45263157894737,0
Ab Barath,42,43,3,97.67441860465115,49.23488372093023,0
Er Dwivedi,24,15,2,160.0,49.0,4
Sohail Tanvir,36,31,5,116.12903225806453,48.92580645161291,0
Rasikh Salam,40,40,6,100.0,48.6,0
Mm Patel,39,41,12,95.1219512195122,47.524390243902445,0
Yashpal Singh,47,67,4,70.1492537313433,47.329850746268654,3
